Reset Time = 2022/02/26 11:50:18

YPP_Recv_No_recommand = 60, YPP_Recv_No = 60

Command Recv Socket Recreate Log =>
    [ 0] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 1] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 2] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 3] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
Ack Send Socket Recreate Log =>
    [ 0] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 1] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 2] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 3] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000

Recv Command Data Error Log =>
    [ 0] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 1] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 2] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 3] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0

Recv Command Data Store And Analize Log =>
    [ 56], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0, 1016 -> 1024
    [ 57], 2022/02/26, 10:11:40, 0, 0, [    1], [0x0012],    4, 1024 -> 1020
    [ 58], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0, 1020 -> 1024
    [ 59], 2022/02/26, 10:11:40, 0, 0, [    1], [0x0013],  516, 1024 ->  508
    [ 60], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  508 ->  524
    [ 61], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  524 ->  556
    [ 62], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  556 ->  848
    [ 63], 2022/02/26, 10:11:40, 0, 0, [    1], [0x0014],  152,  848 ->  696
    [ 64], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  696 ->  728
    [ 65], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  728 ->  760
    [ 66], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  760 ->  872
    [ 67], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  872 ->  984
    [ 68], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  984 -> 1016
    [ 69], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0, 1016 -> 1024
    [ 70], 2022/02/26, 10:11:40, 0, 0, [    1], [0x0015],    8, 1024 -> 1016
    [ 71], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0, 1016 -> 1024
    [ 72], 2022/02/26, 10:11:40, 0, 0, [    1], [0x0016],  972, 1024 ->   52
    [ 73], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,   52 ->   60
    [ 74], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,   60 ->  400
    [ 75], 2022/02/26, 10:11:40, 0, 2, [    0], [0x0017],  450,  400 ->  400
    [ 76], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  400 ->  436
    [ 77], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  436 ->  712
    [ 78], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  712 ->  748
    [ 79], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  748 -> 1024
    [ 80], 2022/02/26, 10:11:40, 0, 0, [    2], [0x0017],  450, 1024 ->  574
    [ 81], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  574 ->  610
    [ 82], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  610 ->  982
    [ 83], 2022/02/26, 10:11:40, 0, 0, [    1], [0x0018],  754,  982 ->  228
    [ 84], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  228 ->  270
    [ 85], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  270 ->  962
    [ 86], 2022/02/26, 10:11:40, 0, 2, [    0], [0x0019],  998,  962 ->  962
    [ 87], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  962 -> 1024
    [ 88], 2022/02/26, 10:11:40, 0, 0, [    2], [0x0019],  998, 1024 ->   26
    [ 89], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,   26 ->  590
    [ 90], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  590 ->  644
    [ 91], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  644 ->  984
    [ 92], 2022/02/26, 10:11:40, 0, 0, [    1], [0x001a],  936,  984 ->   48
    [ 93], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,   48 ->   88
    [ 94], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,   88 ->  300
    [ 95], 2022/02/26, 10:11:40, 0, 2, [    0], [0x001b],  432,  300 ->  300
    [ 96], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  300 ->  332
    [ 97], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  332 ->  736
    [ 98], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  736 ->  780
    [ 99], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  780 ->  992
    [100], 2022/02/26, 10:11:40, 0, 0, [    2], [0x001b],  432,  992 ->  560
    [101], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  560 ->  592
    [102], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  592 ->  868
    [103], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  868 ->  904
    [104], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  904 ->  920
    [105], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  920 -> 1024
    [106], 2022/02/26, 10:11:40, 0, 0, [    1], [0x001c],  408, 1024 ->  616
    [107], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  616 ->  640
    [108], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  640 ->  648
    [109], 2022/02/26, 10:11:40, 0, 0, [    1], [0x001d],  107,  648 ->  541
    [110], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  541 ->  577
    [111], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  577 ->  613
    [112], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  613 ->  869
    [113], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  869 ->  917
    [114], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  917 ->  937
    [115], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  937 ->  965
    [116], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  965 ->  977
    [117], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  977 ->  985
    [118], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0,  985 -> 1024
    [119], 2022/02/26, 10:11:40, 0, 0, [    1], [0x001e],   16, 1024 -> 1008
    [120], 2022/02/26, 10:11:40, 1, 0, [-----], [------],    0, 1008 -> 1024
    [121], 2022/02/26, 10:11:41, 0, 0, [    1], [0x001f],  186, 1024 ->  838
    [122], 2022/02/26, 10:11:41, 1, 0, [-----], [------],    0,  838 ->  872
    [123], 2022/02/26, 10:11:41, 1, 0, [-----], [------],    0,  872 ->  924
    [124], 2022/02/26, 10:11:41, 1, 0, [-----], [------],    0,  924 ->  966
    [125], 2022/02/26, 10:11:41, 1, 0, [-----], [------],    0,  966 -> 1008
    [126], 2022/02/26, 10:11:41, 1, 0, [-----], [------],    0, 1008 -> 1024
    [127], 2022/02/26, 10:11:41, 0, 0, [    1], [0x0020],    8, 1024 -> 1016
    [128], 2022/02/26, 10:11:41, 1, 0, [-----], [------],    0, 1016 -> 1024
    [129], 2022/02/26, 10:11:42, 0, 0, [    1], [0x0021],  494, 1024 ->  530
    [130], 2022/02/26, 10:11:42, 1, 0, [-----], [------],    0,  530 -> 1024
    [131], 2022/02/26, 10:11:42, 0, 0, [    1], [0x0022],  102, 1024 ->  922
    [132], 2022/02/26, 10:11:42, 1, 0, [-----], [------],    0,  922 -> 1024
    [133], 2022/02/26, 10:11:42, 0, 0, [    1], [0x0023],  170, 1024 ->  854
    [134], 2022/02/26, 10:11:42, 1, 0, [-----], [------],    0,  854 ->  930
    [135], 2022/02/26, 10:11:42, 1, 0, [-----], [------],    0,  930 -> 1024
    [136], 2022/02/26, 10:11:43, 0, 0, [    1], [0x0024],   84, 1024 ->  940
    [137], 2022/02/26, 10:11:43, 1, 0, [-----], [------],    0,  940 -> 1024
    [138], 2022/02/26, 10:11:44, 0, 0, [    1], [0x0025],   76, 1024 ->  948
    [139], 2022/02/26, 10:11:44, 1, 0, [-----], [------],    0,  948 -> 1024
    [140], 2022/02/26, 10:24:18, 0, 0, [    1], [0x0026],   16, 1024 -> 1008
    [141], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0, 1008 -> 1016
    [142], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0, 1016 -> 1024
    [143], 2022/02/26, 10:24:18, 0, 0, [    1], [0x0027],   84, 1024 ->  940
    [144], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0,  940 ->  948
    [145], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0,  948 ->  984
    [146], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0,  984 -> 1012
    [147], 2022/02/26, 10:24:18, 0, 0, [    1], [0x0028],    8, 1012 -> 1004
    [148], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0, 1004 -> 1016
    [149], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0, 1016 -> 1024
    [150], 2022/02/26, 10:24:18, 0, 0, [    1], [0x0029],   76, 1024 ->  948
    [151], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0,  948 -> 1024
    [152], 2022/02/26, 10:24:18, 0, 0, [    1], [0x002a],    8, 1024 -> 1016
    [153], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0, 1016 -> 1024
    [154], 2022/02/26, 10:24:18, 0, 0, [    1], [0x002b],   76, 1024 ->  948
    [155], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0,  948 ->  984
    [156], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0,  984 -> 1012
    [157], 2022/02/26, 10:24:18, 1, 0, [-----], [------],    0, 1012 -> 1024
    [158], 2022/02/26, 10:24:21, 0, 0, [    1], [0x002c],   76, 1024 ->  948
    [159], 2022/02/26, 10:24:21, 1, 0, [-----], [------],    0,  948 -> 1024
    [160], 2022/02/26, 10:31:38, 0, 0, [    1], [0x002d],    8, 1024 -> 1016
    [161], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0, 1016 -> 1024
    [162], 2022/02/26, 10:31:38, 0, 0, [    1], [0x002e],  212, 1024 ->  812
    [163], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0,  812 ->  832
